datetime,open,high,low,close,volume
2024-01-02,39.63,39.77,39.04,39.06,7494.0
2024-01-03,39.1,39.22,38.18,38.52,8613.62
2024-01-04,38.46,38.63,38.02,38.25,4984.0
2024-01-05,38.3,38.57,37.0,37.12,7956.0
2024-01-08,37.12,37.68,36.4,36.43,7049.0
2024-01-09,36.9,37.42,36.5,36.94,8714.0
2024-01-10,37.25,37.25,35.96,36.04,7918.0
2024-01-11,36.0,37.16,35.8,37.02,9521.15
2024-01-12,36.88,37.1,36.14,36.3,6884.0
2024-01-15,36.0,36.48,35.68,35.9,8889.0
2024-01-16,35.81,36.4,35.17,35.82,9924.0
2024-01-17,36.0,36.28,34.78,34.78,5050.0
2024-01-18,34.78,35.1,33.66,34.81,8821.0
2024-01-19,34.81,35.24,33.83,33.83,9080.22
2024-01-22,34.08,34.24,31.44,31.85,14221.22
2024-01-23,31.96,32.31,31.1,31.76,11350.0
2024-01-24,31.7,31.96,30.24,31.6,13261.69
2024-01-25,31.6,33.25,31.23,33.09,15049.99
2024-01-26,33.42,33.5,32.06,32.3,8814.0
2024-01-29,32.06,32.9,30.6,31.0,9404.0
2024-01-30,30.83,31.3,29.82,29.91,8433.53
2024-01-31,29.49,29.88,27.4,27.41,15404.01
2024-02-01,27.01,28.27,26.47,27.75,14952.0
2024-02-02,27.78,28.39,24.73,25.66,17406.86
2024-02-05,25.66,25.66,21.2,22.0,26058.16
2024-02-06,21.3,22.58,19.46,21.74,29188.01
2024-02-07,21.55,21.66,18.69,19.24,41196.05
2024-02-08,19.5,21.47,18.25,21.47,37952.5
2024-02-19,22.47,23.81,22.25,23.56,37675.6
2024-02-20,23.56,25.65,22.7,24.79,37420.55
2024-02-21,24.35,25.93,24.14,24.91,35718.39
2024-02-22,24.8,26.98,24.8,26.61,39784.0
2024-02-23,26.92,31.93,26.72,31.93,57371.23
2024-02-26,33.1,37.9,32.46,34.82,97928.33
2024-02-27,32.88,38.99,32.5,36.26,86323.01
2024-02-28,35.17,35.9,31.45,32.24,68964.08
2024-02-29,30.62,33.85,30.62,33.54,47006.07
2024-03-01,33.55,35.8,33.0,35.06,54776.63
2024-03-04,35.42,36.69,33.2,36.52,62792.07
2024-03-05,35.7,36.12,34.7,35.01,39622.49
2024-03-06,35.0,38.4,35.0,37.7,77821.0
2024-03-07,36.99,37.3,35.08,35.8,46453.85
2024-03-08,35.37,42.0,35.11,37.5,77623.72
2024-03-11,35.14,36.88,35.14,36.85,46804.47
2024-03-12,36.63,37.8,36.01,36.65,43938.51
2024-03-13,36.35,37.29,36.35,36.7,37652.95
2024-03-14,36.4,37.49,35.25,35.9,31111.44
2024-03-15,36.0,36.54,35.4,36.43,26619.8
2024-03-18,36.8,37.06,36.22,36.89,31794.28
2024-03-19,36.51,39.58,36.39,38.61,71734.04
2024-03-20,38.0,38.5,37.0,38.5,43077.01
2024-03-21,38.3,40.0,38.18,39.5,55945.52
2024-03-22,38.99,39.93,37.87,38.05,40850.4
2024-03-25,37.21,37.79,35.0,35.28,32817.86
2024-03-26,35.8,41.99,35.8,37.67,53806.45
2024-03-27,36.61,36.98,32.65,32.65,49851.38
2024-03-28,32.66,35.66,32.66,35.04,47323.06
2024-03-29,35.04,36.95,33.75,35.93,40752.23
2024-04-01,35.8,36.55,35.6,35.98,30500.42
2024-04-02,35.67,35.99,34.4,34.75,23569.13
2024-04-03,34.76,34.95,33.2,33.87,17480.61
2024-04-08,33.63,33.87,32.38,32.49,17203.4
2024-04-09,32.41,33.45,32.28,32.76,15740.31
2024-04-10,32.76,32.98,30.88,31.5,16346.82
2024-04-11,31.45,32.13,30.88,31.26,11790.8
2024-04-12,31.32,32.31,31.26,31.5,15492.08
2024-04-15,31.29,32.1,28.63,29.4,21159.59
2024-04-16,29.4,29.4,25.68,26.12,21522.93
2024-04-17,26.88,29.36,26.88,29.32,20012.0
2024-04-18,29.61,30.53,28.14,28.67,23813.99
2024-04-19,28.26,28.8,27.81,28.13,15159.8
2024-04-22,28.21,28.68,26.8,27.63,13116.0
2024-04-23,27.59,28.57,27.59,28.51,14610.54
2024-04-24,28.94,30.1,28.3,30.0,20349.08
2024-04-25,29.85,30.62,29.78,29.9,16645.9
2024-04-26,29.85,31.43,29.61,30.97,20539.07
2024-04-29,31.12,32.93,31.12,32.84,26789.25
2024-04-30,32.66,33.12,31.66,32.16,18136.8
2024-05-06,32.55,32.98,32.18,32.37,15012.0
2024-05-07,32.6,33.08,32.3,32.95,17797.0
2024-05-08,33.0,33.11,31.98,32.08,12365.0
2024-05-09,32.09,32.87,32.0,32.35,10646.0
2024-05-10,32.42,32.54,31.0,31.05,16334.0
2024-05-13,31.06,31.06,29.63,30.02,10530.0
2024-05-14,30.14,31.1,30.14,30.39,9464.0
2024-05-15,30.99,30.99,29.96,30.24,9083.25
2024-05-16,30.77,31.39,30.4,30.97,13719.0
2024-05-17,31.0,32.35,31.0,32.23,22017.14
2024-05-20,32.23,32.23,31.3,31.91,14764.29
2024-05-21,31.66,32.2,31.56,32.0,11790.29
2024-05-22,32.4,32.48,31.88,32.32,11158.54
2024-05-23,32.31,33.84,32.12,32.9,27647.06
2024-05-24,32.3,32.65,31.31,31.32,21101.55
2024-05-27,31.18,31.79,30.3,31.69,15558.19
2024-05-28,31.98,32.3,31.01,31.57,12497.94
2024-05-29,34.65,36.5,31.8,32.48,33716.0
2024-05-30,31.1,31.92,30.23,31.22,28819.95
2024-05-31,30.98,32.4,30.98,32.05,25596.0
2024-06-03,32.4,33.6,31.9,32.7,33505.0
2024-06-04,32.18,32.49,30.61,30.98,29256.0
2024-06-05,30.6,32.09,30.17,30.2,20160.43
2024-06-06,29.9,33.5,29.9,31.97,53304.7
2024-06-07,31.01,31.95,29.98,30.6,39148.29
2024-06-11,30.6,31.89,28.5,31.85,33475.99
2024-06-12,31.8,33.45,31.8,33.3,46318.96
2024-06-13,32.78,33.52,32.33,32.4,35245.97
2024-06-14,31.85,32.85,31.04,32.73,30407.25
2024-06-17,32.16,34.5,32.01,34.48,54602.92
2024-06-18,33.84,35.0,33.67,34.25,44216.89
2024-06-19,34.0,35.3,33.68,33.95,40913.78
2024-06-20,33.35,33.97,32.43,32.45,32815.26
2024-06-21,32.26,35.39,31.33,35.0,69123.75
2024-06-24,33.4,38.0,33.13,35.21,96998.33
2024-06-25,35.21,37.89,34.65,37.0,82412.57
2024-06-26,35.74,38.88,34.8,38.1,94436.7
2024-06-27,37.0,40.0,36.8,37.32,84199.62
2024-06-28,36.11,38.85,35.58,37.5,70817.62
2024-07-01,36.95,37.3,35.05,35.8,54062.06
2024-07-02,36.25,41.66,34.86,37.68,83960.75
2024-07-03,36.8,36.85,35.02,35.1,56048.0
2024-07-04,35.17,36.3,33.87,34.04,42616.0
2024-07-05,33.18,33.3,31.21,31.98,40161.07
2024-07-08,31.3,31.93,30.3,30.45,26320.0
2024-07-09,30.85,32.08,30.31,31.98,33863.0
2024-07-10,31.52,33.45,31.5,32.47,36367.06
2024-07-11,32.92,35.61,32.62,34.63,51245.06
2024-07-12,34.4,34.6,33.75,34.1,30222.0
2024-07-15,33.76,34.66,33.6,33.87,25730.0
2024-07-16,33.6,34.24,32.68,33.91,28430.0
2024-07-17,34.0,34.11,31.78,31.82,26139.0
2024-07-18,31.8,31.8,30.04,30.88,24597.0
2024-07-19,31.01,31.57,30.75,31.09,18606.43
2024-07-22,31.69,34.48,31.48,33.45,42954.0
2024-07-23,33.43,33.73,32.0,32.05,26368.0
2024-07-24,32.02,33.25,31.6,31.85,27052.0
2024-07-25,31.23,31.99,30.8,31.65,18160.0
2024-07-26,31.56,32.15,31.3,31.8,15821.0
2024-07-29,31.8,32.32,31.3,32.02,14755.0
2024-07-30,33.43,38.42,32.82,38.42,74145.57
2024-07-31,38.42,41.0,36.8,37.8,123108.66
2024-08-01,37.19,38.0,36.41,36.57,78291.83
2024-08-02,36.51,37.4,35.55,35.55,67160.0
2024-08-05,34.8,35.64,33.77,33.95,45959.13
2024-08-06,34.3,35.09,33.6,35.05,45083.0
2024-08-07,34.88,36.82,34.57,36.55,65478.0
2024-08-08,35.67,35.67,33.89,34.12,44919.0
2024-08-09,34.5,34.74,33.51,33.54,24644.08
2024-08-12,33.28,33.55,32.21,32.75,22772.0
2024-08-13,32.96,33.4,32.45,33.35,19075.84
2024-08-14,33.48,34.49,33.07,34.27,32427.92
2024-08-15,33.78,34.48,33.48,34.29,26265.0
2024-08-16,34.3,34.95,33.66,33.68,29560.0
2024-08-19,33.23,33.63,32.48,32.6,23941.0
2024-08-20,32.6,33.0,32.3,32.86,19194.1
2024-08-21,32.5,33.15,32.29,32.37,17651.0
2024-08-22,32.36,32.4,31.43,31.53,19551.08
2024-08-23,31.49,31.8,30.66,31.54,15549.0
2024-08-26,31.58,32.26,31.28,32.21,15489.0
2024-08-27,32.0,32.39,31.06,31.16,15116.0
2024-08-28,31.42,31.55,30.65,31.06,11059.0
2024-08-29,31.18,31.78,30.67,31.72,12830.0
2024-08-30,31.5,33.0,31.5,32.5,25686.08
2024-09-02,32.57,33.2,32.24,32.27,24476.93
2024-09-03,32.3,33.47,32.22,33.13,26142.0
2024-09-04,32.6,33.13,32.19,32.61,18778.0
2024-09-05,33.0,33.31,32.33,32.82,18555.06
2024-09-06,32.84,32.84,31.46,31.63,18531.0
2024-09-09,31.5,31.78,30.93,31.52,9043.0
2024-09-10,31.44,32.14,31.03,32.0,11131.0
2024-09-11,31.8,31.97,31.29,31.42,9671.0
2024-09-12,31.63,31.95,30.77,30.77,9995.0
2024-09-13,30.84,31.22,30.42,30.53,10713.0
2024-09-18,30.5,30.85,29.52,30.08,12076.0
2024-09-19,30.27,30.98,30.11,30.77,11571.0
2024-09-20,30.7,31.59,30.47,31.04,14799.37
2024-09-23,31.0,31.3,30.53,30.67,12163.0
2024-09-24,30.7,31.45,30.19,31.43,18782.0
2024-09-25,31.72,32.46,31.44,31.56,22864.0
2024-09-26,31.82,32.3,31.48,32.3,21386.37
2024-09-27,32.6,34.9,32.47,34.22,40994.93
2024-09-30,35.78,40.94,34.53,40.46,77185.05
2024-10-08,46.98,47.51,41.59,46.73,92526.15
2024-10-09,44.02,44.02,38.5,38.72,58316.47
2024-10-10,39.45,40.83,38.73,39.08,31772.39
2024-10-11,38.63,39.29,36.12,36.95,30967.32
2024-10-14,37.03,39.08,37.03,39.04,32462.95
2024-10-15,38.88,39.97,38.11,38.14,35257.13
