datetime,open,high,low,close,volume
2024-01-02,47.93,47.94,47.93,47.94,33876.98
2024-01-03,45.0,52.73,43.15,48.8,175833.9
2024-01-04,43.97,53.68,43.97,53.68,141850.63
2024-01-05,53.5,53.5,48.31,48.31,138571.72
2024-01-08,48.7,49.51,43.48,45.09,132024.62
2024-01-09,43.0,43.93,40.58,41.08,117909.95
2024-01-10,39.99,40.59,38.8,38.86,77073.55
2024-01-11,39.09,40.82,38.94,40.39,75706.1
2024-01-12,40.0,40.28,38.09,38.79,64178.8
2024-01-15,38.2,39.5,38.1,38.63,41121.5
2024-01-16,39.0,39.0,37.25,38.28,41478.8
2024-01-17,38.2,39.27,37.41,37.46,34427.8
2024-01-18,37.7,38.23,36.79,38.23,36408.8
2024-01-19,37.92,38.0,36.46,36.46,37777.13
2024-01-22,36.95,38.88,35.49,36.03,47324.8
2024-01-23,35.82,36.99,34.73,36.11,42442.33
2024-01-24,35.9,36.22,34.29,35.27,38609.6
2024-01-25,35.02,35.84,34.3,35.7,30735.6
2024-01-26,35.25,36.14,34.94,34.97,23782.2
2024-01-29,34.87,34.94,32.32,32.46,36275.4
2024-01-30,32.72,32.72,30.53,30.53,32967.27
2024-01-31,30.68,30.86,28.38,28.38,27047.8
2024-02-01,28.38,29.3,28.01,28.38,23956.0
2024-02-02,28.88,29.23,26.71,27.38,27463.8
2024-02-05,26.46,26.81,24.64,24.64,29778.8
2024-02-06,23.31,25.81,22.66,24.68,32463.15
2024-02-07,24.48,25.4,23.58,25.08,39822.77
2024-02-08,25.16,27.59,24.0,27.59,34755.47
2024-02-19,28.0,29.6,27.9,29.2,37324.0
2024-02-20,29.0,30.69,28.81,29.79,30446.28
2024-02-21,29.52,31.8,29.52,30.64,27633.1
2024-02-22,30.66,31.41,30.65,31.15,17462.2
2024-02-23,31.15,33.55,31.0,33.4,23178.6
2024-02-26,32.91,33.8,31.82,32.92,20580.0
2024-02-27,32.56,34.26,32.31,33.94,23346.0
2024-02-28,33.91,34.25,30.55,30.57,35892.0
2024-02-29,30.0,33.63,29.7,33.63,28504.97
2024-03-01,34.82,36.99,33.2,36.99,70913.17
2024-03-04,38.83,40.69,37.19,37.46,84724.1
2024-03-05,36.11,39.0,35.0,37.0,67189.87
2024-03-06,35.83,36.5,35.08,35.7,41961.4
2024-03-07,35.5,35.96,34.3,34.55,28844.51
