datetime,open,high,low,close,volume
2024-01-02,37.89,38.98,37.0,37.85,48422.09
2024-01-03,41.64,41.64,41.64,41.64,37362.24
2024-01-04,41.6,45.8,39.93,43.0,147426.74
2024-01-05,41.0,41.87,38.7,39.78,102352.75
2024-01-08,38.12,38.98,35.8,36.07,67504.49
2024-01-09,35.67,37.66,35.37,35.64,45772.0
2024-01-10,34.99,35.6,33.87,33.98,41654.0
2024-01-11,33.72,34.27,33.46,34.14,28214.64
2024-01-12,33.86,33.98,32.28,32.35,39151.6
2024-01-15,31.4,32.1,30.86,31.79,33817.6
2024-01-16,32.15,34.26,32.05,33.29,48840.4
2024-01-17,33.09,33.47,32.32,32.33,20905.93
2024-01-18,35.0,35.56,34.8,35.56,40959.57
2024-01-19,37.0,38.0,34.58,34.85,72248.6
2024-01-22,35.48,35.98,31.51,32.36,52321.57
2024-01-23,32.34,32.43,30.53,31.11,37904.0
2024-01-24,31.53,32.37,29.66,31.0,30081.0
2024-01-25,30.97,32.48,30.8,32.39,30193.0
2024-01-26,32.21,32.4,31.32,31.33,19429.0
2024-01-29,31.26,31.35,28.9,28.93,26813.0
2024-01-30,28.8,29.02,27.25,27.3,17450.0
2024-01-31,26.52,27.27,25.38,25.59,25556.0
2024-02-01,25.2,25.92,24.83,25.15,15292.0
2024-02-02,25.3,25.85,22.9,23.98,19349.68
2024-02-05,23.8,23.8,21.58,21.58,17893.0
2024-02-06,20.87,21.48,19.42,20.65,31002.0
2024-02-07,20.85,22.72,20.0,22.43,40993.23
2024-02-08,21.84,24.67,21.54,24.67,54636.99
2024-02-19,24.55,25.01,23.36,25.0,55293.76
2024-02-20,24.3,24.5,23.78,24.3,29297.74
2024-02-21,24.1,25.26,23.81,24.37,35709.62
2024-02-22,24.37,25.55,24.32,25.37,36360.23
2024-02-23,27.0,27.91,26.12,27.91,29995.71
2024-02-26,30.7,30.7,30.7,30.7,2519.28
2024-02-27,33.77,33.77,33.77,33.77,3958.0
2024-02-28,37.15,37.15,36.18,37.15,86112.78
2024-02-29,37.0,40.55,34.68,37.3,139649.32
2024-03-01,36.2,37.77,34.58,36.85,115746.7
2024-03-04,36.5,37.08,34.06,35.03,78818.97
2024-03-05,34.93,38.53,34.0,36.01,89220.71
2024-03-06,35.46,37.21,34.8,37.02,87100.37
2024-03-07,38.5,40.6,36.96,37.18,115104.93
2024-03-08,36.41,39.28,36.1,39.11,91750.55
2024-03-11,37.8,41.2,37.6,41.09,87856.8
2024-03-12,40.33,41.2,38.91,39.59,71393.33
2024-03-13,40.55,41.8,39.73,39.9,67809.4
2024-03-14,39.2,40.16,37.38,38.05,57179.95
2024-03-15,38.2,40.5,37.48,40.15,67620.15
2024-03-18,40.16,41.58,39.3,41.3,66918.72
2024-03-19,41.0,41.0,39.3,39.3,52915.27
2024-03-20,38.73,39.2,37.58,38.27,54675.74
2024-03-21,38.0,39.26,37.81,38.82,43928.71
2024-03-22,38.32,38.32,36.94,37.13,44272.0
2024-03-25,37.14,37.69,35.59,35.62,34883.48
2024-03-26,35.2,36.0,34.78,35.05,27112.29
2024-03-27,34.82,35.11,33.13,33.19,23550.0
2024-03-28,33.27,34.35,33.27,33.79,23072.46
2024-03-29,33.75,34.2,33.4,33.93,15085.0
